#      time         order        brennstof1   brennstoff   hilfsenerg   luftung      raumkuhlu 
  163.0820078       1.0000       0.0000       689.60      1.20000E-06   0.0000       0.0000    
  164.5820078       1.0000       0.0000       715.01      1.20000E-06   0.0000       0.0000    
  166.0820078       1.0000       0.0000       745.91      1.20000E-06   0.0000       0.0000    
  167.5820078       1.0000       0.0000       742.19      1.20000E-06   0.0000       0.0000    
  168.4154352       1.0000       0.0000       740.91      1.20000E-06   0.0000       0.0000    
  168.4154352       1.0000       0.0000       740.91      1.20000E-06   0.0000       0.0000    
  170.8154352       1.0000       0.0000       762.32      1.20000E-06   0.0000       0.0000    
  172.3154352       1.0000       0.0000       785.35      1.20000E-06   0.0000       0.0000    
  173.8154352       1.0000       0.0000       810.59      1.20000E-06   0.0000       0.0000    
  175.3154352       1.0000       0.0000       787.31      1.20000E-06   0.0000       0.0000    
  176.8154352       1.0000       0.0000       786.67      1.20000E-06   0.0000       0.0000    
  178.3154352       1.0000       0.0000       753.35      1.20000E-06   0.0000       0.0000    
  179.8154352       1.0000       0.0000       618.20      1.20000E-06   0.0000       0.0000    
  181.3154352       1.0000       0.0000       586.66      1.20000E-06   0.0000       0.0000    
  182.8154352       1.0000       0.0000       638.78      1.20000E-06   0.0000       0.0000    
  184.3154352       1.0000       0.0000       741.41      1.20000E-06   0.0000       0.0000    
  185.8154352       1.0000       0.0000       752.07      1.20000E-06   0.0000       0.0000    
  187.3154352       1.0000       0.0000       765.85      1.20000E-06   0.0000       0.0000    
  188.8154352       1.0000       0.0000       769.94      1.20000E-06   0.0000       0.0000    
  190.3154352       1.0000       0.0000       767.93      1.20000E-06   0.0000       0.0000    
  191.8154352       1.0000       0.0000       764.55      1.20000E-06   0.0000       0.0000    
  192.4216756       1.0000       0.0000       761.83      1.20000E-06   0.0000       0.0000    
  192.4216756       1.0000       0.0000       761.83      1.20000E-06   0.0000       0.0000    
  194.8216756       1.0000       0.0000       634.13      1.20000E-06   0.0000       0.0000    
  196.3216756       1.0000       0.0000       618.32      1.20000E-06   0.0000       0.0000    
  197.8216756       1.0000       0.0000       612.74      1.20000E-06   0.0000       0.0000    
  199.3216756       1.0000       0.0000       600.95      1.20000E-06   0.0000       0.0000    
  200.8216756       1.0000       0.0000       574.54      1.20000E-06   0.0000       0.0000    
  202.3216756       1.0000       0.0000       427.95      1.20000E-06   0.0000       0.0000    
  203.8216756       1.0000       0.0000       344.21      1.20000E-06   0.0000       0.0000    
  205.3216756       1.0000       0.0000       289.47      1.20000E-06   0.0000       0.0000    
  206.8216756       1.0000       0.0000       279.22      1.20000E-06   0.0000       0.0000    
  208.3216756       1.0000       0.0000       435.27      1.20000E-06   0.0000       0.0000    
  209.8216756       1.0000       0.0000       465.89      1.20000E-06   0.0000       0.0000    
  211.3216756       1.0000       0.0000       468.81      1.20000E-06   0.0000       0.0000    
  212.8216756       1.0000       0.0000       478.07      1.20000E-06   0.0000       0.0000    
  214.3216756       1.0000       0.0000       476.90      1.20000E-06   0.0000       0.0000    
  215.8216756       1.0000       0.0000       475.59      1.20000E-06   0.0000       0.0000    
  216.4282981       1.0000       0.0000       481.77      1.20000E-06   0.0000       0.0000    
  216.4282981       1.0000       0.0000       481.77      1.20000E-06   0.0000       0.0000    
  218.8282981       1.0000       0.0000       475.78      1.20000E-06   0.0000       0.0000    
  220.3282981       1.0000       0.0000       477.35      1.20000E-06   0.0000       0.0000    
  221.8282981       1.0000       0.0000       470.98      1.20000E-06   0.0000       0.0000    
  223.3282981       1.0000       0.0000       476.80      1.20000E-06   0.0000       0.0000    
  224.8282981       1.0000       0.0000       474.38      1.20000E-06   0.0000       0.0000    
  226.3282981       1.0000       0.0000       435.90      1.20000E-06   0.0000       0.0000    
  227.8282981       1.0000       0.0000       394.92      1.20000E-06   0.0000       0.0000    
  229.3282981       1.0000       0.0000       309.70      1.20000E-06   0.0000       0.0000    
  230.8282981       1.0000       0.0000       316.15      1.20000E-06   0.0000       0.0000    
  232.3282981       1.0000       0.0000       426.97      1.20000E-06   0.0000       0.0000    
  233.8282981       1.0000       0.0000       448.54      1.20000E-06   0.0000       0.0000    
  235.3282981       1.0000       0.0000       453.27      1.20000E-06   0.0000       0.0000    
  236.8282981       1.0000       0.0000       446.20      1.20000E-06   0.0000       0.0000    
  238.3282981       1.0000       0.0000       449.29      1.20000E-06   0.0000       0.0000    
  239.8282981       1.0000       0.0000       454.92      1.20000E-06   0.0000       0.0000    
  240.4347882       1.0000       0.0000       465.42      1.20000E-06   0.0000       0.0000    
  240.4347882       1.0000       0.0000       465.42      1.20000E-06   0.0000       0.0000    
  242.8347882       1.0000       0.0000       478.30      1.20000E-06   0.0000       0.0000    
  244.3347882       1.0000       0.0000       479.12      1.20000E-06   0.0000       0.0000    
  245.8347882       1.0000       0.0000       477.74      1.20000E-06   0.0000       0.0000    
  247.3347882       1.0000       0.0000       490.04      1.20000E-06   0.0000       0.0000    
  248.8347882       1.0000       0.0000       486.14      1.20000E-06   0.0000       0.0000    
  250.3347882       1.0000       0.0000       339.43      1.20000E-06   0.0000       0.0000    
  251.8347882       1.0000       0.0000       120.61      1.20000E-06   0.0000       0.0000    
  253.3347882       1.0000       0.0000       37.087      1.20000E-06   0.0000       0.0000    
  254.8347882       1.0000       0.0000       272.69      1.20000E-06   0.0000       0.0000    
  256.3347882       1.0000       0.0000       360.99      1.20000E-06   0.0000       0.0000    
  257.8347882       1.0000       0.0000       388.87      1.20000E-06   0.0000       0.0000    
  259.3347882       1.0000       0.0000       409.39      1.20000E-06   0.0000       0.0000    
  260.8347882       1.0000       0.0000       438.60      1.20000E-06   0.0000       0.0000    
  262.3347882       1.0000       0.0000       475.59      1.20000E-06   0.0000       0.0000    
  263.8347882       1.0000       0.0000       494.86      1.20000E-06   0.0000       0.0000    
  264.4411417       1.0000       0.0000       498.36      1.20000E-06   0.0000       0.0000    
  264.4411417       1.0000       0.0000       498.36      1.20000E-06   0.0000       0.0000    
  266.8411417       1.0000       0.0000       524.20      1.20000E-06   0.0000       0.0000    
  268.3411417       1.0000       0.0000       540.41      1.20000E-06   0.0000       0.0000    
