#      time         order        tair      
  547.4005296       1.0000       4.2199    
  548.9005296       1.0000       3.7398    
  550.4005296       1.0000       2.8597    
  551.9005296       1.0000       2.0497    
  552.5048566       1.0000       1.2932    
  552.5048566       1.0000       1.2932    
  553.1592308       1.0000      0.36115    
  553.4400000       1.0000     -6.00000E-02
  553.4400000       1.0000     -6.00000E-02
  553.9634994       1.0000     -0.84525    
  554.4869988       1.0000     -2.34021E-02
  554.5520827       1.0000      9.37489E-02
  554.5520827       1.0000      9.37489E-02
  555.3896818       1.0000      0.93897    
  556.2272808       1.0000       1.1364    
  557.7272808       1.0000       1.3818    
  559.2272808       1.0000       2.0318    
  560.7272808       1.0000       2.0182    
  562.2272808       1.0000       1.5818    
  563.7272808       1.0000       3.0000    
  565.2272808       1.0000       4.4364    
  566.7272808       1.0000       4.7545    
  568.2272808       1.0000       3.5454    
  569.7272808       1.0000       2.0727    
  571.2272808       1.0000       2.4864    
  572.7272808       1.0000       3.6545    
  574.2272808       1.0000       3.3318    
  575.7272808       1.0000       1.7636    
  576.5094888       1.0000       2.2057    
  576.5094888       1.0000       2.2057    
  577.8496473       1.0000       3.0948    
  579.1898057       1.0000       1.1306    
  579.6000000       1.0000     -0.10000    
  579.6000000       1.0000     -0.10000    
  581.7442536       1.0000      -2.2233    
  583.2442536       1.0000      -2.3756    
  584.7442536       1.0000      -2.0023    
  586.2164706       1.0000      6.80000E-02
  586.2164706       1.0000      6.80000E-02
  588.6164706       1.0000       3.8014    
  590.1164706       1.0000       5.9233    
  591.1611529       1.0000       5.8744    
  592.0381790       1.0000       4.6656    
  592.9233778       1.0000       3.8690    
  593.9833346       1.0000       2.3250    
  595.0481545       1.0000      0.81332    
  595.5415429       1.0000     -7.47773E-02
  595.5415429       1.0000     -7.47773E-02
  597.9415429       1.0000      -2.9299    
  599.4415429       1.0000      -3.0857    
  600.5127282       1.0000      -4.0076    
  600.5127282       1.0000      -4.0076    
  602.9127282       1.0000      -4.7476    
  604.4127282       1.0000      -5.0175    
  605.9127282       1.0000      -6.2691    
  607.4127282       1.0000      -5.9302    
  608.9127282       1.0000      -6.1262    
  610.4127282       1.0000      -3.4682    
  611.5020888       1.0000      -1.0460    
  612.1511111       1.0000      3.60000E-02
  612.1511111       1.0000      3.60000E-02
  614.5511111       1.0000       2.1000    
  615.9680758       1.0000       1.5192    
  617.4680758       1.0000       1.4532    
  618.6877016       1.0000      0.71230    
  620.1877016       1.0000      0.61877    
  621.6877016       1.0000       1.0439    
  623.1877016       1.0000       1.2126    
  624.5161123       1.0000       1.8548    
  624.5161123       1.0000       1.8548    
  626.7832559       1.0000       1.5650    
  628.2832559       1.0000       1.6567    
  629.7832559       1.0000       2.0350    
  631.2832559       1.0000       2.1567    
